Gene Set,TYPE,Normal Breast (Epithelial-Stromal),ER-positive (Epithelial-Stromal),ER-negative (Epithelial-Stromal),Normal Breast (Epithelial-Epithelial),ER-positive (Epithelial-Epithelial),ER-negative (Epithelial-Epithelial)
Vanvliet 2008 (127 genes),BRCA_PROG_SIG,0.9784838,4.03E-16,0.006170694,0.98482921,0.006834307,0.954286763
Sotiriou 2006 (GGI),BRCA_PROG_SIG,0.968446959,1.41E-12,4.16E-10,0.98482921,3.70E-25,0.99288741
Carter 2006 (CIN 70),BRCA_PROG_SIG,0.966614399,6.71E-07,3.06E-13,0.98482921,7.86E-19,0.587130325
Coutant 2011 (ER+ 39 genes),BRCA_PROG_SIG,0.936667652,1.45E-05,0.002071894,0.98482921,2.99E-11,0.99288741
Rody 2009 (interferon),BRCA_PROG_SIG,0.968446959,1.45E-05,0.002902164,1,5.46E-07,8.82E-13
Ascierto 2012 (immune 349 genes),BRCA_PROG_SIG,0.966614399,1.45E-05,1,0.98482921,0.448829651,0.99288741
KEGG_RIBOSOME,KEGG,0.00068324,2.32E-05,0.791653796,2.01E-17,3.62E-08,0.99288741
Rody 2009 (199 genes),BRCA_PROG_SIG,0.966614399,0.000245908,0.056467718,0.98482921,1.33E-15,0.28100228
ER+ predictor,BRCA_PROG_SIG,0.966614399,0.0002945,0.001516675,0.801315952,9.42E-07,0.99288741
UNFOLDED_PROTEIN_RESPONSE,GO_BP,0.966614399,0.0002945,1,0.98482921,0.95682381,0.91809351
ER- predictor,BRCA_PROG_SIG,0.966614399,0.000378031,0.573741801,0.805060402,0.192698757,0.99288741
Teschendorff 2006 (t52),BRCA_PROG_SIG,0.872882772,0.000456475,4.16E-06,0.986005804,0.0021917,0.418973208
Sansregret 2011 (instability),BRCA_PROG_SIG,0.966614399,0.000583563,0.033530625,0.98482921,0.400515425,0.99288741
X18397753_WONG_2008_CORE_EMBRYONIC_STEM_CELL_MODULE,CELL_TYPE_SPEC,0.966614399,0.000720263,3.06E-13,0.98482921,0.013558568,0.949689743
MITOSIS,GO_BP,0.966614399,0.000863867,0.000210969,0.98482921,0.038539626,0.99288741
Teschendorff 2006 (t17),BRCA_PROG_SIG,0.957392242,0.001214813,0.036242571,0.98482921,1.59E-06,0.598221179
ER+/HER2- predictor,BRCA_PROG_SIG,0.966614399,0.002563882,0.033530625,0.98482921,6.69E-09,0.99288741
CAMP_MEDIATED_SIGNALING,GO_BP,0.306791295,0.0032395,0.864058401,0.22210559,0.0858567,0.023037127
Rody 2009 (STAT1),BRCA_PROG_SIG,0.966614399,0.0047678,0.022118477,0.746033494,2.47E-11,0.002618346
Carter 2006 (CIN 25),BRCA_PROG_SIG,0.966614399,0.005200029,1.63E-05,0.98482921,3.50E-15,0.99288741
HER2- predictor,BRCA_PROG_SIG,0.966614399,0.005200029,0.00291427,0.822080684,1.94E-05,0.189000471
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG,0.399173816,0.006507326,0.115261586,0.018718212,7.98E-05,2.43E-12
CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING,GO_BP,0.60520064,0.00724301,0.417763624,0.006194317,0.171343514,0.003858729
CELL_CYCLE_GO_0007049,GO_BP,0.966614399,0.007968728,0.000747637,0.98482921,0.007263904,0.99288741
G_PROTEIN_SIGNALING_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER,GO_BP,0.526848748,0.008213346,0.428128705,0.002028778,0.029416998,0.03534151
ER-/HER2+ predictor,BRCA_PROG_SIG,0.966614399,0.009373119,1,1,0.95682381,0.99288741
CELL_DIVISION,GO_BP,0.968446959,0.011514383,0.262838394,0.714789159,0.020934101,0.000103195
