	Gene.ID	Stroma.pixels	Epithelium.pixels	Brown.Spots.in.Stroma	Brown.Spots.in.Epithelium	Nucleus.Pixels.in.Stroma	Nucleus.pixels.in.Epithelium
1	ACE2 	40988	80311	25	14	566	1529
2	ACE2 	17574	48028	0	11	1200	3993
3	ACE2 	112390	27630	17	7	495	302
4	ACE2 	4891	117168	0	1	204	8767
5	ACE2 	81293	49214	1451	1530	328	193
6	ACE2 	8520	104225	292	4092	494	5474
7	AGT 	10398	104942	322	2858	325	4819
8	AGT 	2547	62446	0	0	71	2136
9	AGT 	3435	81262	22	1473	133	5015
10	AGT 	20084	11058	1479	860	626	332
11	AGT 	24094	89269	100	502	1500	7182
12	AGT 	2097	110969	0	0	126	6242
13	AK5 	36955	59877	0	0	402	1186
14	AK5 	20290	68758	431	1271	113	477
15	AK5 	17772	74903	0	0	255	817
16	AK5 	20238	57696	0	0	145	375
17	AK5 	2978	7456	0	0	74	282
18	AK5 	48138	57515	1	4	720	1732
19	APLP1 	59777	53376	2398	3447	1161	1179
20	APLP1 	42434	58872	48	62	546	1394
21	APLP1 	15568	72214	3	3	101	1533
22	APLP1 	22983	105076	2	0	65	570
23	APLP1 	16496	63414	15	23	524	2105
24	APLP1 	45595	77849	97	205	1282	2829
25	APOBEC3B 	115675	10877	1564	158	5505	687
26	APOBEC3B 	118330	10755	2870	1241	2823	124
27	APOBEC3B 	50734	6467	1715	487	1509	170
28	APOBEC3B 	35715	80039	860	2176	569	1586
29	APOBEC3B 	107023	15510	2618	442	1684	444
30	APOBEC3B 	77216	53349	1547	1375	3688	3005
31	ATHL1 	125784	1934	2198	22	11119	135
32	ATHL1 	113387	3267	3302	102	8975	223
33	ATHL1 	137397	7584	4537	172	8331	831
34	ATHL1 	138677	1392	147	11	4367	54
35	ATHL1 	112992	6467	3142	359	10739	573
36	ATHL1 	124881	2103	5649	126	5189	69
37	BAMBI 	25581	102580	65	234	217	912
38	BAMBI 	59415	49353	294	456	1070	1047
39	BAMBI 	47133	37352	67	81	582	1040
40	BAMBI 	24228	108652	200	454	98	671
41	BAMBI 	58575	34404	68	99	142	197
42	BAMBI 	39512	26210	65	47	433	730
43	BDNF 	57066	43563	7	22	561	665
44	BDNF 	18486	109472	5	23	220	2652
45	BDNF 	103329	16994	201	140	1558	325
46	BDNF 	66286	81039	2118	3918	883	1545
47	BDNF 	139235	7729	13552	834	2029	100
48	BDNF 	20580	54378	70	418	255	898
49	BEX1 	103441	21540	25	19	1143	445
50	BEX1 	5812	79227	8	185	37	766
51	BEX1 	110257	4749	1270	50	1509	71
52	BEX1 	9503	19750	15	46	524	907
53	BEX1 	113173	7093	860	197	708	62
54	BEX1 	45576	48084	37	37	1535	2071
55	CARTPT 	120546	8890	3116	302	5526	524
56	CARTPT 	41110	37321	805	979	1405	1259
57	CARTPT 	96132	55889	612	434	6229	4594
58	CARTPT 	95057	27926	604	375	3322	1757
59	CARTPT 	20011	46650	33	130	1485	4237
60	CARTPT 	89636	18590	456	138	5433	1285
61	CCNB2 	1489	5084	0	0	40	146
62	CCNB2 	8988	3865	0	0	159	76
63	CCNB2 	3523	15623	0	3	35	159
64	CCNB2 	37782	45224	233	87	661	1494
65	CCNB2 	6449	86918	0	0	149	2122
66	CCNB2 	14432	47088	3	10	137	570
67	CCNE1 	59246	61365	186	342	795	833
68	CCNE1 	68505	10205	68	20	616	115
69	CCNE1 	8409	136948	21	292	233	6433
70	CCNE1 	104840	33415	123	234	506	259
71	CCNE1 	80984	17574	2	7	1659	455
72	CCNE1 	70226	70227	267	315	1056	1171
73	CCNE1 	78859	49435	704	784	816	520
74	CCNO 	22239	79569	7	11	768	4028
75	CCNO 	19954	118973	208	2892	674	4039
76	CCNO 	5514	133523	0	8	413	9899
77	CCNO 	118621	56575	12226	6758	2920	1293
78	CCNO 	42330	80467	651	2143	4000	7629
79	CCNO 	41437	119050	2386	9824	1075	3134
80	CEACAM5 	36652	91259	0	0	1106	4795
81	CEACAM5 	4402	7900	291	1136	36	31
82	CEACAM5 	5074	98534	3	44	622	16472
83	CEACAM5 	13401	23020	0	0	800	1870
84	CEACAM5 	2420	128083	0	126	180	11220
85	CEACAM5 	47669	88510	900	7730	1867	2858
86	CEACAM6 	26175	86767	284	2781	1068	3147
87	CEACAM6 	13525	22500	0	4	333	725
88	CEACAM6 	6174	845	13	0	86	6
89	CEACAM6 	1108	59017	0	12	12	911
90	CEACAM6 	22747	553	516	27	130	3
91	CEACAM6 	49294	110580	354	1014	816	2891
92	CEP55 	56354	69712	444	452	171	286
