	NormDegree	StromaNorm	EpiNorm	BrPDegree	StromaBrP	EpiBrP	BrNDegree	StromaBrN	EpiBrN	norm.self	erp.self	ern.self
BGN	0	0	0	1	0	1	0	0	0	0	0	0
BIN1	1	0	1	0	0	0	1	1	0	0	0	0
C5orf13	1	1	0	0	0	0	0	0	0	0	0	0
CCDC92	2	1	1	0	0	0	1	1	0	0	0	0
CDH11	1	1	0	0	0	0	1	1	0	0	0	0
CDH2	0	0	0	2	0	2	0	0	0	0	0	0
CDKN2C	0	0	0	12	0	12	0	0	0	0	0	0
CHN1	1	1	0	1	0	1	1	0	1	0	0	0
COL1A2	1	1	0	11	8	3	2	1	1	0	1	0
COL3A1	0	0	0	8	4	4	0	0	0	0	1	0
COL5A2	3	1	2	2	2	0	0	0	0	0	0	0
COPZ2	0	0	0	0	0	0	3	3	0	0	0	0
CREB3L1	1	1	0	1	0	1	5	5	0	0	0	0
CYBRD1	0	0	0	7	6	1	0	0	0	0	1	0
DCN	0	0	0	0	0	0	3	3	0	0	0	0
DDR2	2	2	0	3	3	0	0	0	0	0	0	0
DLC1	0	0	0	0	0	0	2	1	1	0	0	0
DNAJB4	3	2	1	0	0	0	1	0	1	0	0	0
DPT	24	0	24	0	0	0	2	0	2	0	0	0
ECM1	1	1	0	3	2	1	3	3	0	0	1	0
ENOX1	2	0	2	0	0	0	9	8	1	0	0	0
ENPP2	3	3	0	0	0	0	1	1	0	0	0	0
FADS2	19	3	16	3	3	0	0	0	0	0	0	0
FBLN1	2	1	1	3	1	2	0	0	0	0	1	0
FBLN5	0	0	0	4	0	4	2	2	0	0	0	0
FBN1	4	3	1	1	0	1	0	0	0	0	0	0
FILIP1L	1	1	0	0	0	0	1	1	0	0	0	0
FSTL1	1	0	1	0	0	0	0	0	0	0	0	0
GREM1	1	0	1	0	0	0	0	0	0	0	0	0
HAS2	0	0	0	0	0	0	1	0	1	0	0	0
HS3ST2	5	4	1	0	0	0	3	3	0	0	0	0
IGFBP3	0	0	0	1	0	1	1	1	0	0	0	0
IGFBP4	0	0	0	1	0	1	0	0	0	0	0	0
KRT81	0	0	0	14	11	3	0	0	0	0	1	0
LMCD1	3	2	1	0	0	0	0	0	0	0	0	0
LTBP1	3	0	3	0	0	0	0	0	0	0	0	0
MLPH	1	1	0	17	5	12	1	1	0	0	1	0
MME	1	1	0	2	1	1	0	0	0	0	0	0
MMP1	0	0	0	1	1	0	0	0	0	0	0	0
MMP2	0	0	0	2	1	1	0	0	0	0	0	0
MYL9	0	0	0	1	1	0	1	0	1	0	0	0
NEBL	0	0	0	0	0	0	1	0	1	0	0	0
NID1	2	0	2	2	2	0	0	0	0	0	0	0
NR2F1	3	3	0	1	1	0	2	0	2	0	0	0
