Gene Symbol	1A	2A	3A	8A	9A	10A-avg	11A	13A	14A-avg	16A-avg	17A
A1CF	7.374608454	7.36203675	7.354934872	8.205074817	7.491649724	7.360423922	8.24784988	7.463666041	7.570077597	7.465564579	7.529016179
A1CF	7.171275841	7.37592796	7.178772506	7.361418907	7.270866957	7.180558387	7.39267281	7.279888131	7.308516952	7.294322571	7.035071785
A1CF	7.27690436	7.123561716	7.237433052	7.84275578	7.142699723	7.202639568	7.281637855	7.290977485	7.39835732	7.269755965	7.681054301
A2M	13.34353512	12.59652809	13.31044238	14.77221659	12.92794638	12.85855722	12.80982058	12.92992312	13.68716459	13.42434541	14.15284875
A4GALT	12.44083029	12.25548098	12.39455762	12.84686034	12.39935922	12.39298613	12.84255859	12.88072695	13.58375641	12.07418759	13.496491
A4GNT	7.252224712	7.403119965	7.250357593	7.351895786	7.319436674	7.346573365	7.800996736	7.387416081	7.456481268	7.369181693	7.447802257
AAAS	11.75822237	12.0863832	12.56269138	11.39586571	12.53938823	12.26833689	12.06919657	12.06296823	12.23549044	11.54121611	11.4915601
AACS	11.20480637	11.50878875	11.61533468	12.31637038	12.16571632	12.1830856	12.88234909	12.26611911	12.5893416	12.30337038	12.80382576
AADAC	7.472866746	7.674438617	7.552494093	8.230071546	7.741534672	7.547969545	9.423218004	7.843164717	7.985090201	7.73026236	7.817747863
AAK1	7.891969861	7.621932624	8.65141942	7.139777306	7.397718332	8.003042036	7.605840387	7.334834318	7.483235595	7.612929663	7.208947748
AAMP	10.30278315	10.47112379	10.12709074	11.16084951	10.51317864	11.12792326	11.80655107	11.39786427	11.32706986	10.77826719	11.7398075
AANAT	7.005799777	7.021802126	6.990071499	7.155976631	6.964369447	6.931135492	7.100169861	7.130801426	7.07267843	6.975487277	7.13122892
AARS	15.02655811	15.15481573	15.04444832	13.43545777	15.08401437	15.10919171	15.23753315	15.25161067	14.72126446	14.28737505	13.92424436
AARSD1	12.75718422	10.81429082	10.80705073	12.0805567	10.43134803	11.55658267	12.65365318	11.47596615	11.02039322	12.14194235	13.02921618
AASDHPPT	10.40022665	10.01321248	10.98004532	13.35212894	10.54094869	10.70646403	10.60706893	9.984664113	12.08325714	11.83201268	12.57341422
AASS	7.245731326	7.447692463	7.546594479	7.750235024	7.192710911	7.269745514	7.658469735	7.347713954	7.792789502	7.356727698	7.391719034
AATF	14.19540012	14.46124849	12.93707419	12.44818343	13.12366335	14.63073267	14.2551666	13.5866288	12.88515252	13.0364361	13.31410397
AATK	7.118453439	8.446295918	7.278437003	7.204110158	7.180916039	7.148355482	7.358832312	7.290159808	7.254624801	7.310642336	7.660488748
AATK	7.343999081	9.582207251	7.780176038	7.021430425	7.178862642	7.128262908	7.133073777	8.078873702	7.365671594	7.259122552	7.078995968
ABAT	7.179151962	7.305918014	7.241948456	7.246187561	7.49655739	7.226885613	7.453681467	7.22291112	8.193364445	7.439799872	7.500539038
ABAT	9.194162974	10.07458483	7.612631568	10.77331287	10.44333319	9.594579604	11.77403451	10.62309338	12.11553758	11.07871063	12.96624703
ABAT	10.55309703	11.47706865	9.374381353	12.34575173	12.32948215	11.39072531	12.65829939	12.26494584	13.44319244	12.26915379	13.51984204
ABCA1	13.51594283	13.18779979	13.44119059	14.87691838	13.22428057	13.63831041	12.53115049	13.77365689	13.6482804	13.80928212	14.09582435
ABCA11P	7.600732286	7.480488068	7.674905476	7.5369311	7.333546011	7.691543422	8.781364358	7.552433616	7.938999299	7.756711642	7.372167146
ABCA12	7.73735573	9.564186531	8.555132421	8.887533122	7.698613863	10.46405894	9.209167962	7.772847849	9.402944767	8.953001314	8.263790736
ABCA12	8.016000284	9.019781693	7.942048995	9.70765601	8.123035018	9.592467652	9.876380119	8.37486381	9.483902877	9.213355887	9.472751995
ABCA2	7.945084906	9.972738065	7.507916712	9.609007458	7.762780845	7.912590846	11.65049291	7.878835511	8.620598607	8.043367761	8.340640162
ABCA2	9.362029764	9.453133384	8.806090934	10.81412947	7.253792501	9.557977426	7.495458964	7.661400385	7.477454023	10.02964073	10.75468216
ABCA3	12.18288745	13.45801767	13.1398336	12.7759795	12.97495393	12.41585277	12.33605538	12.41144375	13.17795264	12.49992723	12.59606847
ABCA4	7.639094502	7.174022905	9.056612999	8.909858574	8.455912515	9.881591665	7.605840387	9.64263865	7.421042687	8.653967822	8.87384622
ABCA5	9.917312639	10.14221798	8.78544567	7.317103204	7.244461434	9.337811718	7.444276348	9.186323181	9.135307928	8.222598235	8.399720672
ABCA5	7.66613196	7.510545961	7.736111866	7.458342012	7.899684666	7.832329779	7.78861955	7.699492123	7.789938674	7.576791196	7.936709243
ABCA5	10.37088307	10.90177416	9.843660464	10.88692945	10.35471629	10.9821731	10.21535055	10.67632213	11.50196348	9.814830754	11.21612323
ABCA6	9.31913132	9.044839055	9.00500197	8.867109312	10.83089035	10.07814938	10.69891927	9.933236224	8.479203763	9.809932714	9.016628498
ABCA6	8.818522149	9.52813414	9.409038233	10.19425072	11.66824114	10.50482727	11.76428528	10.43793957	9.151009204	10.28751786	9.891377184
ABCA7	7.529915822	8.14137577	7.197056528	7.750235024	8.326091452	7.323582612	7.234222274	7.220944445	7.222960816	7.161732704	7.192037972
ABCA7	8.114095096	9.041190877	8.037765475	7.4373621	8.454881859	8.288803115	8.180101301	8.570188894	7.764987424	8.15861573	7.80383779
ABCA7	8.429058947	7.150853219	9.969595895	7.093201918	7.010285502	7.848160006	7.173086942	7.095212788	7.936011959	7.7375598	7.226314716
ABCA8	11.53028773	11.50024691	10.94349206	12.4420962	12.13590972	11.84441092	12.30321438	12.47581521	12.52675592	11.76803804	11.50292614
ABCB1	7.668579282	7.218605333	7.136330864	7.150957446	7.115997466	7.211823338	7.156072222	7.215265907	7.147451931	7.55102009	7.118926439
ABCB11	7.15195295	7.28229041	7.176701158	7.883929013	7.280707709	7.212352357	7.854933499	7.387416081	7.235633653	7.258699551	7.491199578
ABCB4	7.638369637	8.032727498	7.623106847	7.064703102	8.147364456	8.178259698	7.18200948	8.095227357	7.096786392	7.790069322	7.192037972
