Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
A1CF	7.594706476	7.307199788	7.876353643	7.361237388	7.622733469	7.638020475	8.678128626	7.325911237	7.531137099	7.44131546	7.308741627
A1CF	7.220764314	7.300830566	7.515917936	7.205982213	7.512971778	7.153954091	9.273658477	7.36203675	7.213812082	7.412753179	7.280546404
A1CF	7.193226619	7.244235317	7.175834484	7.254689825	7.34185226	7.294192545	7.352879519	7.16239301	7.32916014	7.20963002	7.159816314
A2M	13.0929829	13.30853797	12.96573869	13.79053737	13.08239775	12.80881739	13.97793321	13.1269982	13.22303907	12.90308412	13.19838477
A4GALT	12.61529581	13.16274462	12.49336137	13.14372048	12.60075376	12.72537138	13.32786902	12.74650089	12.85078314	12.40722418	12.47234241
A4GNT	7.313216534	7.340106481	7.468193381	7.443166611	7.740973569	7.481732182	7.515917936	7.453217298	7.779860241	7.335739996	7.302725929
AAAS	11.56432917	12.49779054	11.86538457	12.38228384	12.38186015	12.35944735	12.60676818	11.83832238	11.45958407	11.5019885	12.22853537
AACS	12.0052579	12.2355796	12.47632303	11.26863335	11.6520274	12.25619586	11.67083349	11.8223977	12.21848841	12.43378249	11.55213637
AADAC	7.965998783	7.730146647	8.641410095	7.715437358	7.818278507	7.976184938	8.206263255	7.688583889	8.123035018	7.779154101	7.900585781
AAK1	7.209686796	7.147532237	7.496454726	7.786962241	8.679968396	7.762187948	7.323433688	7.16239301	9.143500798	8.070629528	7.633861036
AAMP	11.16860242	11.05264855	11.58313409	10.82194485	10.14263638	11.16711019	10.02541504	11.3166191	10.6338588	11.0899256	10.00438854
AANAT	6.969924518	6.950903357	7.09636786	7.024644607	7.105502077	7.091657722	6.98933011	7.01843558	7.124078095	6.974205632	6.980900532
AARS	15.26774276	15.24831169	15.21318219	14.61093608	15.21318219	15.02353772	15.05360659	15.2106284	15.23486186	15.12702869	15.15481573
AARSD1	12.84159368	11.39430435	12.1155103	12.39206015	8.475251679	11.50613893	13.08239775	12.34656882	11.25721766	12.03034903	11.73530825
AASDHPPT	8.751410722	10.18823954	7.145835655	11.74376455	9.934474366	9.506779241	10.49896911	10.04724621	11.32477469	9.220317795	10.11600349
AASS	7.303123426	7.568403376	7.787189747	7.331347403	8.501115433	7.260689671	7.858981478	7.215908249	7.526581501	7.428998239	7.688082181
AATF	14.46015037	13.85100759	14.55134574	13.65466788	12.71735165	14.18411923	13.15134135	13.23328934	12.7264789	13.87773643	12.5341753
