	Gene.ID	Stroma.pixels	Epithelium.pixels	Brown.Spots.in.Stroma	Brown.Spots.in.Epithelium	Nucleus.Pixels.in.Stroma	Nucleus.pixels.in.Epithelium
1	AGT 	7832	15246	13	0	470	841
2	AGT 	105630	31490	7	3	352	118
3	AGT 	8126	57144	1	0	259	2536
4	AGT 	0	215	0	0	0	29
5	AGT 	31190	17394	2	0	1874	1496
6	AGT 	45574	22507	9	2	198	295
7	AGT 	2811	37529	0	0	142	1422
8	AK5 	12916	77751	29	878	621	5088
9	AK5 	4596	845	25	0	35	5
10	AK5 	19318	62016	0	42	952	4597
11	AK5 	6126	14491	14	20	48	141
12	AK5 	48594	7418	0	0	338	208
13	AK5 	25182	57784	2	17	770	4578
14	AK5 	32827	18033	77	149	1365	1244
15	APLP1 	30166	57538	38	88	389	1115
16	APLP1 	25923	3801	276	297	248	55
17	APLP1 	18599	37919	12	10	306	986
18	APLP1 	6068	28244	12	77	104	712
19	APLP1 	11548	13213	5	14	206	410
20	APLP1 	2243	49539	0	0	53	1263
21	APLP1 	6234	9886	17	29	116	278
22	APOBEC3B 	9695	6606	24	17	918	759
23	APOBEC3B 	35845	34929	313	1267	946	1133
24	APOBEC3B 	5900	49394	83	818	489	3463
25	ATHL1 	35608	66929	421	1992	1408	1687
26	ATHL1 	30007	66100	1	124	1103	3797
27	BAMBI 	48154	41858	52	168	151	454
28	BAMBI 	59758	25919	24	10	88	165
29	BDNF 	66305	47004	360	1511	747	947
30	BDNF 	115967	15767	56	303	528	295
31	BDNF 	13591	18404	151	855	98	197
32	BDNF 	12361	30681	22	108	285	821
33	BDNF 	101285	24518	35	38	634	873
34	BDNF 	23687	112365	7	58	353	5343
35	BDNF 	17776	17037	224	760	471	216
36	BEX1 	20048	28560	21	32	407	556
37	BEX1 	69654	6255	2028	441	949	34
38	BEX1 	7460	22200	30	93	680	2162
39	BEX1 	8558	8913	0	0	132	174
40	BEX1 	38676	22819	2334	3574	853	298
41	CARTPT 	61250	8773	358	17	1709	413
42	CARTPT 	41131	5687	329	74	2294	378
43	CARTPT 	51463	1587	1635	91	659	15
44	CCNB2 	4575	25490	0	0	44	242
45	CCNB2 	5326	7190	5	17	324	922
46	CCNB2 	12500	34925	0	2	115	1329
47	CCNB2 	3193	4849	0	0	100	162
48	CCNB2 	3246	6320	2	3	143	374
49	CCNB2 	15726	15861	2	10	303	818
50	CCNE1 	12086	5348	3	7	77	227
51	CCNE1 	17035	0	2	0	35	0
52	CCNE1 	43497	40108	92	115	2239	2872
53	CCNE1 	54274	17459	171	93	1897	807
54	CCNE1 	74466	18682	2	1	1011	1041
55	CCNE1 	6722	43336	0	0	160	2230
56	CCNO 	7582	22382	26	426	235	899
57	CCNO 	79272	69945	86	295	2848	4471
58	CCNO 	28648	10578	402	171	139	84
59	CCNO 	54569	13567	793	991	180	41
60	CCNO 	6346	66258	0	0	418	6973
61	CCNO 	3377	56826	0	1	240	5394
62	CCNO 	2249	28428	0	215	466	3437
63	CEACAM5 	572	9496	0	0	19	191
64	CEACAM5 	1736	16377	0	5	25	537
65	CEACAM5 	30953	7244	1	0	549	373
66	CEACAM5 	11341	8033	1	2	247	480
67	CEACAM5 	713	1239	0	0	6	4
68	CEACAM5 	14425	28917	0	0	339	3356
69	CEACAM5 	1202	544	0	0	112	102
70	CEACAM6 	513	2774	0	4	5	168
71	CEACAM6 	572	9496	0	0	19	191
72	CEACAM6 	11341	8033	1	2	247	480
73	CEACAM6 	1736	16377	0	5	25	537
74	CEACAM6 	2219	2838	1	3	75	146
75	CEACAM6 	614	4607	1	2	7	58
76	CEP55 	2311	30361	0	4	353	5973
77	CEP55 	4942	46971	26	224	491	6420
78	CHGA 	25195	71272	0	0	1127	4895
79	CHGA 	25259	101001	0	0	415	3155
80	CHGA 	7755	31763	0	0	467	3422
81	CHGA 	3869	86059	1	7	264	5611
82	CHGA 	5372	23840	0	1	524	2709
83	CHGA 	13015	25141	0	0	561	2604
84	CHGA 	21430	87364	0	0	824	5265
85	CKS1B 	2282	610	89	33	6	0
86	CKS1B 	32042	9131	663	457	291	29
87	CKS1B 	48976	24576	15	46	520	1206
88	COX6C 	13678	50483	102	391	1062	6454
89	COX6C 	48201	65235	2	140	225	2377
90	COX6C 	36646	9094	582	467	1359	343
91	COX6C 	53192	37814	109	188	881	1282
92	CPB1 	9928	8196	0	0	283	182
93	CPB1 	5235	4037	0	0	107	179
94	CPB1 	1863	70632	0	1	57	1743
95	CPB1 	9276	31600	0	1	696	3572
96	CPB1 	15775	31903	0	4	81	556
97	CPB1 	15316	30186	0	1	221	869
98	CPB1 	1890	24789	0	0	82	1243
99	DDX60 	19553	21401	545	655	306	664
100	DDX60 	1770	38669	334	5879	21	1119
101	DDX60 	37369	22300	178	242	743	885
102	DDX60 	27927	56378	1136	3327	743	1542
103	DDX60 	70121	28172	377	959	1260	557
104	DDX60 	23276	49903	191	1942	1442	2372
105	DENND1B 	92777	20689	640	107	2613	1291
106	DENND1B 	11048	42131	163	1124	1479	5276
107	DENND1B 	3147	79221	14	159	96	3562
108	DENND1B 	5913	10223	184	367	698	1121
109	DSC3 	5011	9740	0	0	374	1175
110	DSC3 	29527	16030	0	0	251	2065
111	DSC3 	6771	2931	0	0	36	45
112	DSC3 	1211	46753	0	1	63	3166
113	DSC3 	2733	49632	0	0	157	2634
114	DSC3 	1705	25409	0	0	11	580
115	DSC3 	9621	38550	1	3	1054	3692
116	FAM5B 	130285	13562	0	1	1168	217
117	FAM5B 	11993	68748	0	1	251	2809
118	FAM5B 	5928	42523	0	0	239	2644
119	FAM5C 	11521	25373	2	2	430	1322
120	FAM5C 	35572	28505	120	190	1068	1067
121	FAM5C 	17238	29896	10	14	653	1623
122	FOXM1 	12381	6996	87	177	199	123
123	FOXM1 	9224	15467	2	35	150	398
124	FOXM1 	26781	13115	41	100	559	376
125	FOXM1 	65314	29493	16	45	251	161
126	FOXM1 	4637	3684	110	152	9	3
127	FOXM1 	1797	29322	0	0	31	984
128	FOXM1 	174	587	0	0	22	74
129	FUT5 	14338	26564	6	26	854	1231
130	FUT5 	9502	14536	24	24	623	1169
