Gene	Abba 2005 (ER)	Alexe 2007 (lymphocytic genes)	Ascierto 2012 (immune 349 genes)	Ayers 2004 (pCR elevated)	Beck 2009 (CSF1 macrophage)	Bertucci 2006 (ductal vs medullary)	Bianchini 2010 (22 genes)	Biocarta IL12	Biocarta IL13	Biocarta IL2	Biocarta IL4	Bos 2009 (brain met cell line)	Bos 2009 (brain met human)	Carter 2006 (CIN 25)	Carter 2006 (CIN 70)	Chang 2004 (CSR)	Chanrion 2008 (Tamoxifen 36 genes)	Cheang 2008 (TN prognostic predictor)	Choi 2010 (quintuple negative)	Coutant 2011 (ER- 30 genes)	Coutant 2011 (ER+ 39 genes)	Dai 2005 (cell proliferation)	Dairkee 2007 (oxidative stress)	Der 1998 (interferon induced)	Finak 2008 (SDPP)	Filipits 2011 (ER+/HER2- PCR 11 genes)	Galon 2006 (immune suppression)	Galon 2006 (immunogenes)	Galon 2006 (inflammation)	Galon 2006 (Th1 adaptive immunity)	Glinsky 2005 (poor prognosis)	Goldrath (immune memory)	Habermann 2009 (genomic instability)	RBHallett 2012 (basal 14 genes)	Hannemann 2006 (invasiveness)	Hess 2006 (pCR chemotherapy)	Hu 2009 (distant met VEGF)	Juul 2010 (Paclitaxel response)	Kang 2003 (bone met)	KEGG Antigen Processing and Presentation	Khoury 2010 (Trastuzumab resistance)	Khoury 2010 (HER2 untreated)	Korkola 2007 (21 genes)	Landemaine 2008 (lung met associated)	Landemaine 2008 (lung met predictor)	Li 2009 (chemotherapy 24 genes)	Lin 2010 (basal chemo 23 genes)	Liu 2007 (IGS)	Liu 2012 (HER2 TICS 17 genes)	Ma 2004 (two-gene ratio)	Martin 2008 (22 genes)	Miller 2005 (p53)	Minn 2005 (lung met 54 genes)	Minn 2005 (lung met 95 genes)	Naderi 2006 (70 genes)	Cheang 2008	Nimeus-malmstrom 2008 (local recurrence)	Saal 2007 (PTEN pathway)	Paik 2004 (OncotypeDX)	Planche 2011 (normal vs tumour stroma)	Rody 2009 (199 genes)	Rody 2009 (hemopoietic cell kinase)	Rody 2009 (immunoglobulin gamma)	Rody 2009 (interferon)	Rody 2009 (lymphocyte specific kinase)	Rody 2009 (MHC I)	Rody 2009 (MHC II)	Rody 2009 (STAT1)	Rody 2011 (TN good prognosis)	Rody 2011 (TN poor prognosis)	Sabatier 2011 (basalL MBC)	Sansregret 2011 (instability)	Schmidt 2011 (humoral immune)	Smeets 2010 (lymph node positive)	Smid 2006 (bone met)	Sotiriou 2006 (GGI)	Staff 2010 (HDPP)	Symmans 2010 (ER related)	Taube 2010 (EMT)	Teschendorff 2006 (t17)	Teschendorff 2006 (t52)	Teschendorff 2007 (immune response)	Thuerigen 2006 (neoadjuvant chemotherapy)	Tosolini 2001 (A1 Th1 cytotoxic)	Tosolini 2001 (A2 Th1)	Tosolini 2001 (B1 Th2)	Tosolini 2001 (B2 Th2)	Tosolini 2001 (B3 Th2)	Tosolini 2001 (C1 T regulatory)	Tosolini 2001 (C2 T regulatory Th2)	Tosolini 2001 (D1 Th17)	Ursini-Siegel 2010 (immune 43 genes)	Vanlaere 2008 (IBC signature)	Vantveer 2002 (MammaPrint)	Vanvliet 2008 (127 genes)	Wang 2005 (76 genes)	Watkins 2009 (CD14 monocyte)	Watkins 2009 (CD19 B cell)	Watkins 2009 (CD4 T helper)	Watkins 2009 (CD56 NK)	Watkins 2009 (CD66b granulocyte)	Watkins 2009 (CD8 cytotoxic T)	Watkins 2009 (erythroblast)	Watkins 2009 (megakaryocyte)	West 2011 (lymphocyte 8 genes)	Yau 2010 (TN poor outcome)	Unstratified predictor	ER+ predictor	ER- predictor	HER2+ predictor	HER2- predictor	ER-/HER2+ predictor	ER+/HER2+ predictor	ER-/HER2- predictor	ER+/HER2- predictor	lumA predictor	lumB predictor	normL predictor	ER+/normL predictor	her2E predictor	basalL predictor	ER-/her2E predictor	ER+/her2E predictor	ER-/basalL predictor	ER+/basalL predictor
A2M		x																																																										x																																																																	
A4GALT																																																																																																							x																						
AA528243																																														x																																																																															
AA742697																																																				x																																																																									
AARS																				x																							x																																																																																		
AATK																																																																																																					x																								
AB028990																																														x																																																																															
ABAT																																																																					x									x															x																																
ABCA1																																																																																																					x																								
ABCA12																							x																																																								x																																														
ABCA3	x					x																																																																	x																																																						
ABCA6																																																												x																																																																	
ABCA8																																																												x																																			x																														
ABCA9																																																												x																																																																	
ABCB1		x																																													x																																																															x															
ABCB10																																																																																																							x																						
ABCB11		x																																																																																																																											
ABCB1A																																x																																																																																													
ABCB4																																																																																																		x																											
ABCB8																																																																																			x																																										
ABCC3																	x																						x														x	x																																																																							
ABCC4						x																																																																	x																																	x																					
ABCC5																																																																																x	x																						x																						
ABCC6			x																																																																																																																										
ABCD1																																																																										x									x																																										
ABCD3	x																																																																																																																												
ABCD4		x																																																																											x																																																
ABCG1																																																																																																					x																								
ABCG2																							x																																																																																																						
ABHD14B																x																																x																																																																													
ABHD3																																																																																																					x																								
ABHD4																																																																																																								x																					
ABHD6																																																																						x																																																							
ABLIM1																																																										x		x																			x																	x																													
ABLIM3																																																												x																																																																	
ABO																																																																																																										x																			
ABP1		x																																																																																																			x																								
ABR																																																																																																					x																								
ABTB1																																																																										x																											x																								
ABTB2																																																																																																					x																								
AC079061.1																																																																																																		x																											
ACACB																																																												x																																				x																													
ACADSB	x																																																																													x															x																																
ACAP1			x																																																																																																																										
ACAT1																																																																																																							x																						
ACAT2																				x																																																																																																									
ACBD3		x																																																																																																x																											
ACCS																x																																												x																																												x																					
ACIN1																x							x																																																																																																						
ACLY				x																																																																																																																									
ACO1																																															x																																																																														
ACOT11																																																																																																x																													
ACOT7																																																												x																																																																	
ACOX1																																																																						x																															x																								
ACOX2																				x																						x																																																							x																												
ACSBG1																																																																																																							x																						
ACSL1																																																																																																					x																								
ACSL3						x										x																																																							x																																																						
ACSL5		x				x																																																																	x																																																						
ACSS2																x																																																																																																													
ACTA2						x																																																																	x																																																						
ACTB																																																			x																																																																										
ACTC1																																																																										x																																																			
ACTG1																																																																																			x																																										
ACTG2						x																													x																																				x												x																																										
ACTL6A															x	x																																																																																																													
ACTN1		x				x																																													x									x										x	x																																																						
ACTR1A																																																										x																																																																			
ACTR3																					x																																																																																																								
ACTR3B																																																																										x																																																			
ACVR1		x				x																																																																	x																																																						
ACVRL1		x																																																																																																																											
ACY1																																																																						x																																																							
ACYP1																																																																										x																																																			
ADAM10																																																																						x																																																							
ADAM12						x																	x																																																																																																						
ADAM15																																																																										x																							x																												
ADAM17																																																																														x																																															
ADAM19												x																																																																																																																	
ADAM20			x																																																																																																																										
ADAM28		x																																																																																																x																											
ADAM30		x																																																																																																																											
ADAM33																																																												x																																																																	
ADAM8		x				x						x																																																											x			x																											x																								
ADAM9																								x																																																																																																					
ADAMDEC1		x																																																																																																																											
ADAMTS1												x				x																							x																					x																																								x																									
ADAMTS12																																																																							x																																																						
ADAMTS14																																																												x																																																																	
ADAMTS3																																																												x																																											x																						
ADAMTS7																							x																																																																																																						
ADAMTS9																																																												x																																																																	
ADAR																								x																																																																													x																								
ADC																																																												x																																																																	
ADCK1																																																																																			x																				x																						
ADCK4																																																																																			x																																										
ADCY1																																																																														x																																															
ADCY3																																																																																			x																																										
ADCY4																																																												x																																																																	
ADCY6																																																																																																								x																					
ADCY7					x																																																																																																																								
ADCY9												x																																																														x				x																																															
ADD2																																																																																																							x																						
ADD3																x																																												x																	x																																																
ADFP																																																																						x								x																																															
ADH1B																																																												x																																																																	
ADI1																							x																																																																																																						
ADIPOR1																																																																																																					x																								
ADK																																																																																																		x																											
ADM																									x												x																																	x																															x																							x	
ADORA2A						x																																			x																														x																																																						
ADORA2B																							x																																																																																															x							
ADORA3																																																																																																					x																								
ADRA2A																									x																																																																																																				
ADRB2																																																																																																																						x							
ADRBK1																							x																																																																																																						
ADRBK2						x																																																																	x																																																						
AEBP1																																																																						x																																																							
AEN																																																																																																							x																						
AF269087																																																				x																																																																									
AFF3																																																									x																																				x					x																											
AFG3L2																																																																																																							x																						
AFP																																																									x																				x																																																
AFTIPHILIN																																																																													x																																																
AGAP1																																																																										x																																																			
AGAP4																																																												x																																																																	
AGER		x																																																																																																																											
AGL																																																																										x																																																			
AGPAT2						x																																																																	x																																																						
AGPAT5																							x																																																																																																						
AGPS																																																x																																																																													
AGR2	x											x																																								x																							x			x																																									x						
AGTRAP																																																																																			x																																										
AHCTF1																																																												x																																																																	
AHCYL1																																																																																																																					x								
AHI1																																																												x																																																					x												
AHNAK																																																																							x																																																						
AHSG																																																									x																																																																				
AHSP																																																																																																							x																						
AI057637																																														x																																																																															
AI435828																																																				x																																																																									
AI810764																																																				x																																																																									
AI826437																																																				x																																																																									
AI918032																																														x																																																																															
AI922323																																																				x																																																																									
AI961235																																																				x																																																																									
AI990465																																																				x																																																																									
AIDA																																																x																																																																													
AIF1		x	x																																																										x	x																																																															
AIF1L																																																												x																																												x																					
AIFM2																																																																							x																																																						
AIG1	x																																																																																																																												
AIM1																																																x																						x																																																							
AIM2		x	x			x																																																																	x																											x																											
AIP																							x																																																																																																						
AK000345																																																				x																																																																									
AK2																																																																																																							x																						
AK5												x																																																																																																																	
AKAP1																																																																																			x																																										
AKAP12																																																												x																																																																	
AKAP2																																																																																														x																															
AKAP8		x																																																																																																																											
AKAP9																																																																																																																											x		
AKR1A1																							x																																																																																																						
AKR1B1		x																																																																																																																											
AKR1C1												x																																																x																							x																																										
AKR1C13																																x																																																																																													
AKR1C2												x																																																x																																																																	
AKR1C3																																									x																																																											x																									
AKR7A3																																									x																																																				x																																
AKT1											x																																																																																																																		
AKTIP																																																												x																																																																	
AL080170																																																				x																																																																									
AL136877																																														x																																																																															
AL137162																																														x																																																																															
AL355392																																																				x																																																																									
AL360204																																																				x																																																																									
AL512727																																																				x																																																																									
AL523310																																														x																																																																															
AL731683.1																																																																																																		x																											
ALAD																																																																																																							x																						
ALAS2																																																																													x																										x																						
ALB																																										x																																																																																			
ALCAM	x																						x																																																																																																						
ALDH1A1		x																																																																																													x																							x	x						
ALDH1A3												x																																																																			x																																														
ALDH2																																																																																																	x																												
ALDH3A1																																																					x	x																																																																							
ALDH3A2																							x																																																																																																						
ALDH4A1																																																																																														x																															
ALDH5A1																																																																					x																																																								
