	probe	EntrezGene.ID	Gene.Symbol
geneid_83746	geneid_83746	83746	L3MBTL2
geneid_321	geneid_321	321	APBA2
geneid_9064	geneid_9064	9064	MAP3K6
geneid_7675	geneid_7675	7675	ZNF121
geneid_5979	geneid_5979	5979	RET
geneid_8932	geneid_8932	8932	MBD2
geneid_202333	geneid_202333	202333	CMYA5
geneid_159989	geneid_159989	159989	CCDC67
geneid_84895	geneid_84895	84895	FAM73B
geneid_7113	geneid_7113	7113	TMPRSS2
geneid_22919	geneid_22919	22919	MAPRE1
geneid_3170	geneid_3170	3170	FOXA2
geneid_3383	geneid_3383	3383	ICAM1
geneid_55159	geneid_55159	55159	RFWD3
geneid_1833	geneid_1833	1833	DSPG3
geneid_55321	geneid_55321	55321	C20orf46
geneid_26152	geneid_26152	26152	ZNF337
geneid_10051	geneid_10051	10051	SMC4
geneid_6493	geneid_6493	6493	SIM2
geneid_5173	geneid_5173	5173	PDYN
geneid_63027	geneid_63027	63027	C6orf85
geneid_84858	geneid_84858	84858	ZNF503
geneid_91768	geneid_91768	91768	CABLES1
geneid_2932	geneid_2932	2932	GSK3B
geneid_284114	geneid_284114	284114	TMEM102
geneid_7043	geneid_7043	7043	TGFB3
geneid_375704	geneid_375704	375704	C9orf165
geneid_4811	geneid_4811	4811	NID1
geneid_57669	geneid_57669	57669	EPB41L5
geneid_51308	geneid_51308	51308	REEP2
geneid_55511	geneid_55511	55511	SAGE1
geneid_22908	geneid_22908	22908	SACM1L
geneid_11051	geneid_11051	11051	NUDT21
geneid_55366	geneid_55366	55366	LGR4
geneid_80100	geneid_80100	80100	FLJ21272
geneid_10800	geneid_10800	10800	CYSLTR1
geneid_132720	geneid_132720	132720	FLJ39370
geneid_91464	geneid_91464	91464	RAXLX
geneid_123920	geneid_123920	123920	CMTM3
geneid_84695	geneid_84695	84695	LOXL3
geneid_10813	geneid_10813	10813	UTP14A
geneid_9629	geneid_9629	9629	CLCA3
geneid_83759	geneid_83759	83759	RBM4B
geneid_58499	geneid_58499	58499	ZNF462
geneid_80000	geneid_80000	80000	KIAA1772
geneid_6289	geneid_6289	6289	SAA2
geneid_40	geneid_40	40	ACCN1
